run_id      , experiment, model            , fold, epoch, train_loss          , train_acc         , val_loss           , val_acc           , val_rmse_dollars  , val_mae_dollars   , val_r2            , seconds
tuned2_s42  , tuned2    , gradient_boosting,    4,  3000, 0.0578174544842252  , 0.9597257926306768, 0.122038449251903  , 0.7766323024054983, 25078.97979105716 , 14252.924379799084, 0.9131245073845884,  3.8833758
tuned2_s42  , tuned2    , gradient_boosting,    5,  3000, 0.0625766176671372  , 0.9554413024850044, 0.1007479581779822 , 0.7800687285223368, 22564.375030892206, 13394.336177537789, 0.9210277707493612,  3.824593100000001
tuned2_s42  , tuned2    , lightgbm         ,    1,  4200, 0.020949482041748   , 0.9965694682675816, 0.1312246816632344 , 0.7191780821917808, 19806.17625156971 , 14531.029697818918, 0.9289819007611168,  1.5931119000000002
tuned2_s42  , tuned2    , lightgbm         ,    2,  4200, 0.0201636488803641  , 0.997427101200686 , 0.1130496914213618 , 0.7294520547945206, 24360.57247795437 , 14305.541707708597, 0.915493899069544 ,  1.6173569000000008
tuned2_s42  , tuned2    , lightgbm         ,    3,  4200, 0.0198648715895311  , 0.9991423670668954, 0.1264627190916771 , 0.7157534246575342, 21233.38576650085 , 14529.489917943967, 0.9154082328745732,  1.7068299999999963
tuned2_s42  , tuned2    , lightgbm         ,    4,  4200, 0.0213698907822158  , 0.996572407883462 , 0.1296304170753154 , 0.7079037800687286, 26621.44674123069 , 15532.48299291426 , 0.9021094302511888,  1.6218428000000031
tuned2_s42  , tuned2    , lightgbm         ,    5,  4200, 0.021283492916625   , 0.9974293059125964, 0.1089554855919909 , 0.711340206185567 , 23809.27422332826 , 14916.219373843209, 0.9120734378335672,  1.6400290999999996
tuned2_s42  , tuned2    , xgboost          ,    1,  4200, 0.0635695077357197  , 0.9056603773584906, 0.1164438511787116 , 0.7191780821917808, 18749.72249271731 , 13882.3193608155  , 0.9363560018909096,  1.3650651999999963
tuned2_s42  , tuned2    , xgboost          ,    2,  4200, 0.0646919810751812  , 0.8996569468267581, 0.1103704938791019 , 0.75              , 22571.584794140108, 13409.325751419648, 0.9274500379729516,  1.2615022000000025
tuned2_s42  , tuned2    , xgboost          ,    3,  4200, 0.0623097646150578  , 0.9073756432247   , 0.119827292838742  , 0.7226027397260274, 19998.94517535826 , 13346.098036769305, 0.924958107680098 ,  1.2911201000000003
tuned2_s42  , tuned2    , xgboost          ,    4,  4200, 0.0633992549236859  , 0.9074550128534704, 0.1179570651123925 , 0.7663230240549829, 24600.291598500364, 14355.459954359289, 0.9164092812915392,  1.264633400000001
tuned2_s42  , tuned2    , xgboost          ,    5,  4200, 0.0651475218959347  , 0.8980291345329906, 0.1082032128905082 , 0.7319587628865979, 23788.76258671908 , 14322.806596675398, 0.9122248696505398,  1.2649947000000026
tuned2_s42  , tuned2    , catboost         ,    1,  3200, 0.0347175817255057  , 0.9905660377358492, 0.1166982721690578 , 0.75              , 19128.81214766578 , 13580.56977697099 , 0.9337564237989698,  3.413324099999997
tuned2_s42  , tuned2    , catboost         ,    2,  3200, 0.0336070236926125  , 0.9914236706689536, 0.1088102153117471 , 0.7431506849315068, 21028.925884650893, 12914.280630584675, 0.9370280322158476,  3.326270800000003
tuned2_s42  , tuned2    , catboost         ,    3,  3200, 0.0334801312350341  , 0.9905660377358492, 0.1194198596045608 , 0.7363013698630136, 20049.61141946485 , 13214.686517599996, 0.9245773968979354,  3.3636895
tuned2_s42  , tuned2    , catboost         ,    4,  3200, 0.0362032760139774  , 0.987146529562982 , 0.119359167837182  , 0.7697594501718213, 24662.725491771616, 14306.307874610353, 0.9159844475783936,  3.351890499999996
tuned2_s42  , tuned2    , catboost         ,    5,  3200, 0.0332723898778382  , 0.9922879177377892, 0.1019541889559571 , 0.7353951890034365, 22824.47845870378 , 13569.412348012334, 0.919196624350012 ,  3.3156186000000005
